corpus,clip_id,percorso,classe,contributore,eta,genere,autore,licenza,link_origine
fsd50k,425873,data/raw/fsd50k/FSD50K.dev_audio/425873.wav,,,,,Soundholder,CC BY,https://freesound.org/s/425873/
fsd50k,431448,data/raw/fsd50k/FSD50K.dev_audio/431448.wav,,,,,StarTowerStudio,CC0,https://freesound.org/s/431448/
fsd50k,410343,data/raw/fsd50k/FSD50K.dev_audio/410343.wav,,,,,waxsocks,CC0,https://freesound.org/s/410343/
fsd50k,420940,data/raw/fsd50k/FSD50K.dev_audio/420940.wav,,,,,Cigaro30,CC BY,https://freesound.org/s/420940/
fsd50k,415439,data/raw/fsd50k/FSD50K.dev_audio/415439.wav,,,,,luckylittleraven,CC0,https://freesound.org/s/415439/
fsd50k,415438,data/raw/fsd50k/FSD50K.dev_audio/415438.wav,,,,,luckylittleraven,CC0,https://freesound.org/s/415438/
fsd50k,415431,data/raw/fsd50k/FSD50K.dev_audio/415431.wav,,,,,luckylittleraven,CC0,https://freesound.org/s/415431/
fsd50k,415430,data/raw/fsd50k/FSD50K.dev_audio/415430.wav,,,,,luckylittleraven,CC0,https://freesound.org/s/415430/
fsd50k,415433,data/raw/fsd50k/FSD50K.dev_audio/415433.wav,,,,,luckylittleraven,CC0,https://freesound.org/s/415433/
fsd50k,415432,data/raw/fsd50k/FSD50K.dev_audio/415432.wav,,,,,luckylittleraven,CC0,https://freesound.org/s/415432/
fsd50k,415435,data/raw/fsd50k/FSD50K.dev_audio/415435.wav,,,,,luckylittleraven,CC0,https://freesound.org/s/415435/
fsd50k,415434,data/raw/fsd50k/FSD50K.dev_audio/415434.wav,,,,,luckylittleraven,CC0,https://freesound.org/s/415434/
fsd50k,415436,data/raw/fsd50k/FSD50K.dev_audio/415436.wav,,,,,luckylittleraven,CC0,https://freesound.org/s/415436/
fsd50k,386305,data/raw/fsd50k/FSD50K.dev_audio/386305.wav,,,,,ldezem,CC0,https://freesound.org/s/386305/
fsd50k,433886,data/raw/fsd50k/FSD50K.dev_audio/433886.wav,,,,,jodybruchon,CC0,https://freesound.org/s/433886/
fsd50k,433887,data/raw/fsd50k/FSD50K.dev_audio/433887.wav,,,,,jodybruchon,CC0,https://freesound.org/s/433887/
fsd50k,433880,data/raw/fsd50k/FSD50K.dev_audio/433880.wav,,,,,jodybruchon,CC0,https://freesound.org/s/433880/
fsd50k,413106,data/raw/fsd50k/FSD50K.dev_audio/413106.wav,,,,,GokhanBiyik,CC BY,https://freesound.org/s/413106/
fsd50k,413105,data/raw/fsd50k/FSD50K.dev_audio/413105.wav,,,,,GokhanBiyik,CC BY,https://freesound.org/s/413105/
fsd50k,414454,data/raw/fsd50k/FSD50K.dev_audio/414454.wav,,,,,giddster,CC BY,https://freesound.org/s/414454/
fsd50k,428338,data/raw/fsd50k/FSD50K.dev_audio/428338.wav,,,,,zembacraftworks,CC0,https://freesound.org/s/428338/
fsd50k,420102,data/raw/fsd50k/FSD50K.dev_audio/420102.wav,,,,,14F_Panska_Dittrichova_Diana,CC0,https://freesound.org/s/420102/
fsd50k,420105,data/raw/fsd50k/FSD50K.dev_audio/420105.wav,,,,,14F_Panska_Dittrichova_Diana,CC0,https://freesound.org/s/420105/
fsd50k,420107,data/raw/fsd50k/FSD50K.dev_audio/420107.wav,,,,,14F_Panska_Dittrichova_Diana,CC0,https://freesound.org/s/420107/
